Organ	Predictor	UKBPPP.Protein.ID	Assay.Target	UniProt.ID	Olink.ID	Protein.Panel	Gene.Symbol	QR0.025	QR0.1	QR0.2	QR0.3	QR0.4	QR0.5	QR0.6	QR0.7	QR0.8	QR0.9	QR0.975
Organismal	CRYM	CRYM:Q14894:OID30815:v1	CRYM	Q14894	OID30815	Neurology_II	CRYM	0	0	0	-0.039098530477795	-0.0260512239355997	-0.0492249905829179	-0.0209085739847864	-0.0197723150041279	-0.0323038730310195	-0.00451599955847126	0
Organismal	CRYZL1	CRYZL1:O95825:OID30272:v1	CRYZL1	O95825	OID30272	Cardiometabolic_II	CRYZL1	0	0	0	0	0	0	0	0	0	0	0
Organismal	CSDE1	CSDE1:O75534:OID30183:v1	CSDE1	O75534	OID30183	Cardiometabolic_II	CSDE1	0	0	0	0	0	0	0	0	0	0	0
Organismal	CSF1	CSF1:P09603:OID20719:v1	CSF1	P09603	OID20719	Inflammation	CSF1	0	0	0	0	0	0	0	-0.0753506468623921	-0.0673653446394394	0	0
Organismal	CSF3	CSF3:P09919:OID20491:v1	CSF3	P09919	OID20491	Inflammation	CSF3	-0.187012649902447	-0.134969021655915	-0.111749059235385	-0.0943593172451664	-0.0823072784162788	-0.0606401580761359	-0.0359218639641111	-0.0705514652664856	-0.0775368541946176	-0.016216116151663	0
Organismal	CSH1	CSH1:P0DML2:OID30667:v1	CSH1	P0DML2	OID30667	Inflammation_II	CSH1	-0.000000482445824945177	0	0	0	-0.0146281599160802	-0.00495545351848747	0	0	0	0	0
Organismal	CSNK1D	CSNK1D:P48730:OID30492:v1	CSNK1D	P48730	OID30492	Inflammation_II	CSNK1D	0	0	0	-0.0101167443244487	0	0	0	0	-0.0000571012457109776	-0.00725459761876068	0
Organismal	CSNK2A1	CSNK2A1:P68400:OID31053:v1	CSNK2A1	P68400	OID31053	Neurology_II	CSNK2A1	0	0	0.00279317116831258	0.0000453158709757218	0	0	0	-0.0158179425901279	0	-0.0465893758219315	0
Organismal	CSPG4	CSPG4:Q6UVK1:OID30397:v1	CSPG4	Q6UVK1	OID30397	Cardiometabolic_II	CSPG4	0	0	0.0407667488279703	0.0816585463182591	0.0397397410840317	0.077850487115713	0.0722363164482863	0.121139128979262	0.0878734377527291	0.0584412519125065	0.0331351000785847
Organismal	CSRP3	CSRP3:P50461:OID30176:v1	CSRP3	P50461	OID30176	Cardiometabolic_II	CSRP3	0	0	0	0	0	-0.0360220177607105	-0.0285031244945962	-0.021114341284737	0	-0.0102470734671725	0
Organismal	CST3	CST3:P01034:OID20400:v1	CST3	P01034	OID20400	Cardiometabolic	CST3	0	0	0	0	0	0	0	0	0	0	0
Organismal	CST5	CST5:P28325:OID20995:v1	CST5	P28325	OID20995	Neurology	CST5	0.0176952091125257	0.0593072567944858	0.0581997117119508	0.0817882429197941	0.0849819813590496	0.0808818952685895	0.0791702154308237	0.0694278889457796	0.0570357979334172	0.100164385467268	0.0954611690481847
Organismal	CST6	CST6:Q15828:OID20293:v1	CST6	Q15828	OID20293	Cardiometabolic	CST6	0	0	0.00282444306482924	0.00566913626450417	0.0343633264846655	0.0347416236690484	0	0	0	0	0
Organismal	CSTB	CSTB:P04080:OID20294:v1	CSTB	P04080	OID20294	Cardiometabolic	CSTB	0	0	0	0	0	-0.0590169012178249	-0.0316417025873865	-0.0165608818843061	-0.0635961937068867	0	0
Organismal	CTAG1A_CTAG1B	CTAG1A_CTAG1B:P78358:OID31299:v1	CTAG1A_CTAG1B	P78358;P78358	OID31299	Oncology_II	CTAG1A;CTAG1B	-0.0479456842889875	-0.0406643473667406	-0.030802731905067	-0.040864367339137	-0.0208041259024588	-0.0145857083617793	-0.0230446290088039	-0.012657673591083	0	-0.000602241092563099	0
Organismal	CTBS	CTBS:Q01459:OID30710:v1	CTBS	Q01459	OID30710	Inflammation_II	CTBS	0.0460580063402764	0.0831443633748401	0.0497099450435847	0.0116959139615023	0.0132536435323075	0.0120313013664853	0	0	0	0	0
Organismal	CTF1	CTF1:Q16619:OID20061:v1	CTF1	Q16619	OID20061	Cardiometabolic	CTF1	0	0	-0.0179174917096474	-0.0415216802486848	-0.0438471179861191	0	-0.0360470313094075	-0.0551782330711002	-0.0660901709221828	-0.0351469829505743	0
